city,state,house_type,price,year,month,time
Mountain View,CA,1,720918.0,2020,08,2020-08
Palo Alto,CA,1,1477995.0,2020,08,2020-08
Foster City,CA,1,718972.0,2020,08,2020-08
San Francisco,CA,1,922430.0,2020,09,2020-09
Berkeley,CA,1,777676.0,2020,09,2020-09
Mountain View,CA,1,720793.0,2020,09,2020-09
Palo Alto,CA,1,1473224.0,2020,09,2020-09
Foster City,CA,1,719385.0,2020,09,2020-09
San Francisco,CA,1,914641.0,2020,10,2020-10
Berkeley,CA,1,790825.0,2020,10,2020-10
Mountain View,CA,1,724517.0,2020,10,2020-10
Palo Alto,CA,1,1472511.0,2020,10,2020-10
Foster City,CA,1,728567.0,2020,10,2020-10
San Francisco,CA,1,907125.0,2020,11,2020-11
Berkeley,CA,1,810597.0,2020,11,2020-11
Mountain View,CA,1,723729.0,2020,11,2020-11
Palo Alto,CA,1,1464786.0,2020,11,2020-11
Foster City,CA,1,731465.0,2020,11,2020-11
San Francisco,CA,1,895537.0,2020,12,2020-12
Berkeley,CA,1,824408.0,2020,12,2020-12
Mountain View,CA,1,724780.0,2020,12,2020-12
Palo Alto,CA,1,1465001.0,2020,12,2020-12
Foster City,CA,1,737181.0,2020,12,2020-12
San Francisco,CA,2,1029211.0,2015,01,2015-01
Berkeley,CA,2,750464.0,2015,01,2015-01
Mountain View,CA,2,851066.0,2015,01,2015-01
Palo Alto,CA,2,1789701.0,2015,01,2015-01
Foster City,CA,2,806399.0,2015,01,2015-01
San Francisco,CA,2,1038388.0,2015,02,2015-02
Berkeley,CA,2,756380.0,2015,02,2015-02
Mountain View,CA,2,855525.0,2015,02,2015-02
Palo Alto,CA,2,1789633.0,2015,02,2015-02
Foster City,CA,2,816207.0,2015,02,2015-02
San Francisco,CA,2,1053496.0,2015,03,2015-03
Berkeley,CA,2,766447.0,2015,03,2015-03
Mountain View,CA,2,869540.0,2015,03,2015-03
Palo Alto,CA,2,1806855.0,2015,03,2015-03
Foster City,CA,2,831245.0,2015,03,2015-03
San Francisco,CA,2,1071542.0,2015,04,2015-04
Berkeley,CA,2,776143.0,2015,04,2015-04
Mountain View,CA,2,880489.0,2015,04,2015-04
Palo Alto,CA,2,1827728.0,2015,04,2015-04
Foster City,CA,2,845784.0,2015,04,2015-04
San Francisco,CA,2,1079259.0,2015,05,2015-05
Berkeley,CA,2,789091.0,2015,05,2015-05
Mountain View,CA,2,891685.0,2015,05,2015-05
Palo Alto,CA,2,1842546.0,2015,05,2015-05
Foster City,CA,2,863810.0,2015,05,2015-05
San Francisco,CA,2,1094322.0,2015,06,2015-06
Berkeley,CA,2,799888.0,2015,06,2015-06
Mountain View,CA,2,895009.0,2015,06,2015-06
Palo Alto,CA,2,1833635.0,2015,06,2015-06
Foster City,CA,2,877516.0,2015,06,2015-06
San Francisco,CA,2,1114628.0,2015,07,2015-07
Berkeley,CA,2,810617.0,2015,07,2015-07
Mountain View,CA,2,901728.0,2015,07,2015-07
Palo Alto,CA,2,1838592.0,2015,07,2015-07
Foster City,CA,2,893231.0,2015,07,2015-07
San Francisco,CA,2,1138400.0,2015,08,2015-08
Berkeley,CA,2,823497.0,2015,08,2015-08
Mountain View,CA,2,910201.0,2015,08,2015-08
Palo Alto,CA,2,1846895.0,2015,08,2015-08
Foster City,CA,2,908719.0,2015,08,2015-08
San Francisco,CA,2,1159777.0,2015,09,2015-09
Berkeley,CA,2,838804.0,2015,09,2015-09
Mountain View,CA,2,918109.0,2015,09,2015-09
Palo Alto,CA,2,1862854.0,2015,09,2015-09
Foster City,CA,2,920491.0,2015,09,2015-09
